LOCID,ECOORD,NCOORD,ELEV
B04601E,390331.287222222,1430299.21833333,1093.08
B04601F,390331.297222222,1430299.21833333,1093.08
B04601G,390331.307222222,1430299.21833333,1093.08
B04602,390462.017222222,1430242.21833333,1075.74
B04603,390614.097222222,1430298.43833333,1070.79
B04604,389906.687222222,1429548.49833333,1108.66
B04605,389980.397222222,1429757.32833333,1104.82
B04606,390129.747222222,1429915.25833333,1107.65
B04607,390223.607222222,1430066.73833333,1098.01
B04608,389886.537222222,1429676.09833333,1107.09
B04639,389909.257222222,1429576.11833333,1107.75
B04640,390319.437222222,1429937.18833333,1106.07
B04641,390080.727222222,1430086.95833333,1099.83
B04642,390315.657222222,1430396.13833333,1094.09
B04643,389810.797222222,1429486.08833333,1107.31
B04649,390002.687222222,1429811.62833333,1105.45
B04654,390239.597222222,1429854.54833333,1108.01
B04658,390340.767222222,1429919.01833333,1106.55
B04662,390375.997222222,1430017.81833333,1094.23
B04665,390250.817222222,1430149.19833333,1100.86
B04667,390524.607222222,1430033.58833333,1086.93
B04669,390549.307222222,1430258.60833333,1072.61
B04670,390582.017222222,1430272.44833333,1070.43
B04681,391074.847222222,1430948.75833333,1026.81
B04682,391074.847222222,1430948.81833333,1026.81
B04683,391074.797222222,1430948.76833333,1026.81
B04684,391143.047222222,1430875.15833333,1029.29
B04685,391143.057222222,1430875.18833333,1029.29
B04686,391143.007222222,1430875.23833333,1029.29
B04687,391203.747222222,1430807.35833333,1034.66
B04688,391203.767222222,1430807.43833333,1034.66
B04689,391203.717222222,1430807.38833333,1034.67
B04690,391147.357222222,1430905.19833333,1027.26
B04691,391196.787222222,1430856.88833333,1031.78
B04692,391250.327222222,1430807.39833333,1039.87
B04693,391137.947222222,1430937.45833333,1024.68
B04694,391137.927222222,1430937.53833333,1024.68
B04695,391137.977222222,1430937.48833333,1024.68
B04696,391173.647222222,1430903.95833333,1028.48
B04697,391173.667222222,1430904.00833333,1028.48
B04698,391173.617222222,1430903.95833333,1028.48
B04699,391242.247222222,1430840.75833333,1036.08
B04700,391242.227222222,1430840.83833333,1036.08
B04701,391242.277222222,1430840.78833333,1036.08
B04707,391133.737222222,1430914.35833333,1025.8
B04715,391221.777222222,1430829.52833333,1034.85
B04729,390137.437222222,1430332.33833333,1096.76
B04730,390143.587222222,1430330.14833333,1096.76
B04734,391050.217222222,1431001.81833333,1031.91
B04735,391056.417222222,1431005.84833333,1031.92
B04736,391056.177222222,1430999.23833333,1031.32
B04737,391312.527222222,1430738.03833333,1053.68
B04MIP01,389887.197222222,1429574.51833333,1107.57
B04MIP03,389893.037222222,1429590.04833333,1107.51
B04MIP04,389964.817222222,1429737.21833333,1105.61
B04MIP08,389926.087222222,1429580.82833333,1108.01
B04MIP10,389951.837222222,1429739.06833333,1105.65
B04MIP11,389946.157222222,1429683.46833333,1108.53
B04MIP12,390011.897222222,1429682.35833333,1108.76
B04MIP15,389933.797222222,1429604.81833333,1108.08
B102MW-1,389671.947222222,1428071.58833333,1103.1
B102MW-2,390038.087222222,1427785.87833333,1083.06
B102MWB,389805.677222222,1427805.41833333,1083.06
B10518,389407.087222222,1427281.42833333,1091.9
B10520,389567.227222222,1427518.58833333,1078.76
B10522,389889.047222222,1427695.99833333,1093.65
B10524,390245.487222222,1427538.91833333,1058.74
B10525,390244.597222222,1427289.34833333,1054.2
B10526,389963.247222222,1427223.07833333,1084.96
B10527,389857.187222222,1428170.24833333,1105.09
B10528,390621.937222222,1426781.44833333,1077.37
B10587,390936.017222222,1427332.87833333,1046
B1091HP001,389502.677222222,1427876.69833333,1097.13
B1091HP002,389599.467222222,1427845.29833333,1096.72
B1091HP003,389719.987222222,1427777.54833333,1095.57
B1091HP004,389683.297222222,1427703.93833333,1090.73
B1091HP005,389640.547222222,1427672.89833333,1086.19
B1091HP006,389569.487222222,1427679.00833333,1080.76
B1091HP007,389558.877222222,1427643.55833333,1080.86
B10A1,389512.067222222,1427160.65833333,1086.9
B10A2,389788.807222222,1427069.20833333,1083
B10ABHP001,389822.387222222,1427748.63833333,1093.97
B10ABHP002,389889.777222222,1427751.92833333,1095.02
B10ABHP004,389849.537222222,1427657.96833333,1090.01
B10ABHP005,389816.697222222,1427610.17833333,1086.17
B10ABHP007,389909.617222222,1427602.32833333,1091.85
B10ABHP008,389917.997222222,1427552.81833333,1090.96
B10ABHP009,389783.467222222,1427506.57833333,1075.18
B10ABHP010,389929.887222222,1427492.04833333,1089.79
B10ABSD001,389725.837222222,1427533.08833333,1067.98
B10ABSD002,389725.837222222,1427531.08833333,1067.98
B10ABSD003,389725.837222222,1427529.08833333,1067.98
B10B1,389694.517222222,1427187.19833333,1080.32
B10B10,390147.967222222,1427006.83833333,1077.6
B10B11,390238.357222222,1427324.19833333,1054.5
B10B2,389333.027222222,1427120.35833333,1091.08
B10B4,389556.517222222,1427263.28833333,1079.18
B10B5,389498.087222222,1427138.26833333,1087
B10B8,389508.627222222,1427187.75833333,1084.58
B10B9,389493.047222222,1427166.98833333,1088
B10BGHP002,389211.327222222,1427633.05833333,1098.38
B10BGHP003,389277.087222222,1427481.63833333,1095.09
B10BGHP004,389216.427222222,1427497.94833333,1097.77
B10BGHP005,389322.657222222,1427556.74833333,1095.44
B10BPHP001,389567.107222222,1427558.96833333,1079.67
B10BPHP002,389584.937222222,1427562.75833333,1079.05
B10FD,390360.097222222,1427322.45833333,1050
B10MPA,389499.857222222,1427168.30833333,1087.39
B10MPB,389495.647222222,1427176.67833333,1087.01
B10MPC,389491.587222222,1427185.38833333,1086.16
B10MW1,389274.307222222,1428325.74833333,1103.56
B10MW2,389300.647222222,1428194.70833333,1103.7
B10MW3,389367.887222222,1428205.22833333,1104.32
B10MWA,389784.317222222,1427835.20833333,1103.1
B10MWC,389277.747222222,1428326.83833333,1103.6
B10MWD,389944.297222222,1428105.27833333,1103
B10MWL,391012.047222222,1427069.93833333,1040.87
B10MWM,391017.257222222,1427059.84833333,1040.36
B10PIIBH001,389530.927222222,1427557.19833333,1080
B10PIIBH002,389528.827222222,1427543.88833333,1080
B10PIIBH003,389510.707222222,1427552.00833333,1090
B10PIIBH004,389573.207222222,1427532.63833333,1090
B10PIIBH005,389564.857222222,1427519.78833333,1078.77
B10PIIBH006,389527.377222222,1427539.88833333,1082.15
B10PIIBH007,389505.017222222,1427546.71833333,1082.47
B10PIIBH008,389475.827222222,1427566.95833333,1085.29
B10PIIBH009,389493.887222222,1427567.74833333,1083.91
B10PIIBH010,389505.737222222,1427557.72833333,1083.14
B10PIIBH011,389531.687222222,1427560.84833333,1082
B10PIIBH013,389538.097222222,1427589.95833333,1080
B10PIIBH014,389500.597222222,1427614.95833333,1080
B10PIIBH015,389551.097222222,1427544.80833333,1080.18
B10PIIBH016,389547.947222222,1427560.55833333,1080.21
B10PIIBH017,389546.957222222,1427575.72833333,1080.6
B10PIIBH018,389469.627222222,1427466.50833333,1081.09
B10PIIBH019,389531.707222222,1427453.51833333,1079.04
B10PIIBH020,389445.417222222,1427524.30833333,1086.22
B10PIIHP001,389528.287222222,1428001.97833333,1103.36
B10PIIHP002,389444.377222222,1428160.52833333,1104.74
