LOCID,ECOORD,NCOORD,ELEV,MPELEV,IBDEPTH,IEDEPTH,maxdepth,zero,ECOORD.1,NCOORD.1
B04622,391088.04,1430889.26,1027.18,NA,NA,NA,NA,0,391088.04,1430889.26
B04623,391094.38,1430871.47,1027.47,NA,NA,NA,NA,0,391094.38,1430871.47
B04624,391101.82,1430855.98,1027.9000000000001,NA,NA,NA,NA,0,391101.82,1430855.98
B04625,391108.89,1430844.87,1028.23,NA,NA,NA,NA,0,391108.89,1430844.87
B04626,391131.23,1430845.35,1028.21,NA,NA,NA,NA,0,391131.23,1430845.35
B04627,391135.63,1430824.86,1030.21,NA,NA,NA,NA,0,391135.63,1430824.86
B04628,391147.95,1430813.81,1030.93,NA,NA,NA,NA,0,391147.95,1430813.81
B04629,391159.09,1430804.51,1032.3,NA,NA,NA,NA,0,391159.09,1430804.51
B04631,391181.81,1430787.91,1035.75,NA,NA,NA,NA,0,391181.81,1430787.91
B04632,391195.94,1430782.7,1036.3,NA,NA,NA,NA,0,391195.94,1430782.7
B04633,391211.16,1430766.66,1038.54,NA,NA,NA,NA,0,391211.16,1430766.66
B04634,391229.03,1430750.44,1041.3,NA,NA,NA,NA,0,391229.03,1430750.44
B04635,391238.06,1430740.12,1042.5899999999999,NA,NA,NA,NA,0,391238.06,1430740.12
B04636,391249.04,1430730.53,1044.77,NA,NA,NA,NA,0,391249.04,1430730.53
B04637,391267.38,1430723.54,1047.76,NA,NA,NA,NA,0,391267.38,1430723.54
B04638,391288.66,1430716.48,1052.1199999999999,NA,NA,NA,NA,0,391288.66,1430716.48
B04639,389890.1662042,1429539.6633614,1107.7462114,1107.37,140,160,160,0,389890.1662042,1429539.6633614
B04640,390300.3383133,1429900.733074,1106.0716941999999,1105.8,147,167,167,0,390300.3383133,1429900.733074
B04641,390061.632316,1430050.5047848,1099.8307526999999,1099.21,156,176,176,0,390061.632316,1430050.5047848
B04642,390296.5622973,1430359.6839133,1094.0864394,1093.65,115,135,135,0,390296.5622973,1430359.6839133
B04643,389791.702699,1429449.638912,1107.311582,1107.08,94,164,164,0,389791.702699,1429449.638912
B04644,389771.289018,1429485.817805,1107.3590429999999,NA,NA,NA,NA,0,389771.289018,1429485.817805
B04645,389884.817721,1429500.781387,1108.3213940000001,NA,NA,NA,NA,0,389884.817721,1429500.781387
B04646,389884.291343,1429559.383506,1107.5486840000001,NA,NA,NA,NA,0,389884.291343,1429559.383506
B04647,389966.37706,1429562.289989,1109.3803069999999,NA,NA,NA,NA,0,389966.37706,1429562.289989
B04648,389905.289011,1429751.562342,1104.112183,NA,NA,NA,NA,0,389905.289011,1429751.562342
B04649,389983.5931416,1429775.1734136,1105.4549836000001,1104.58,192,247,247,0,389983.5931416,1429775.1734136
B04650,390115.812845,1429674.136572,1108.786654,NA,NA,NA,NA,0,390115.812845,1429674.136572
B04651,389911.583084,1429815.195276,1103.174978,NA,NA,NA,NA,0,389911.583084,1429815.195276
B04652,389995.255707,1429891.404126,1101.523762,NA,NA,NA,NA,0,389995.255707,1429891.404126
B04653,390153.150546,1429858.996828,1108.1504829999999,NA,NA,NA,NA,0,390153.150546,1429858.996828
B04654,390220.499436,1429818.094424,1108.006809,1107.53,147,157,157,0,390220.499436,1429818.094424
B04655,390033.890837,1429973.058358,1100.8690200000001,NA,NA,NA,NA,0,390033.890837,1429973.058358
B04656,390114.515984,1429996.463584,1099.8892639999999,NA,NA,NA,NA,0,390114.515984,1429996.463584
B04657,390226.753249,1429908.623646,1106.0005920000001,NA,NA,NA,NA,0,390226.753249,1429908.623646
B04658,390321.67389,1429882.563089,1106.5480749999999,1106.61,125,135,135,0,390321.67389,1429882.563089
B04659,390035.612136,1430058.227151,1099.062242,NA,NA,NA,NA,0,390035.612136,1430058.227151
B04660,390125.029937,1430036.038632,1098.7734109999999,NA,NA,NA,NA,0,390125.029937,1430036.038632
B04661,390237.417856,1430037.576077,1096.801839,NA,NA,NA,NA,0,390237.417856,1430037.576077
B04662,390356.898435,1429981.364862,1094.2308049999999,1094.1,80,120,120,0,390356.898435,1429981.364862
B04663,390451.165329,1429978.188871,1089.5532880000001,NA,NA,NA,NA,0,390451.165329,1429978.188871
B04664,390107.505139,1430144.179992,1097.500217,NA,NA,NA,NA,0,390107.505139,1430144.179992
B04665,390231.726546,1430112.749064,1096.822596,1100.3,112,142,142,0,390231.726546,1430112.749064
B04666,390305.090273,1430103.48222,1092.87781,NA,NA,NA,NA,0,390305.090273,1430103.48222
B04667,390505.506523,1429997.130501,1086.9344799999999,1086.44,53,68,68,0,390505.506523,1429997.130501
B04668,390396.306946,1430167.178841,1077.960664,NA,NA,NA,NA,0,390396.306946,1430167.178841
B04669,390530.211153,1430222.147828,1072.613507,1072.01,50,60,60,0,390530.211153,1430222.147828
B04670,390562.917112,1430235.9892,1070.4353980000001,1070.77,50,105,105,0,390562.917112,1430235.9892
B04671,389870.85,1429510.55,1107.99,NA,NA,NA,NA,0,389870.85,1429510.55
B04672,389889,1429505.79,1108.55,NA,NA,NA,NA,0,389889,1429505.79
B04673,389920.43,1429495.4,1109.93,NA,NA,NA,NA,0,389920.43,1429495.4
B04674,389899.61,1429546.64,1107.72,NA,NA,NA,NA,0,389899.61,1429546.64
B04675,389955.4,1429574.5,1109.32,NA,NA,NA,NA,0,389955.4,1429574.5
B04676,389849.77,1429655.09,1106.71,NA,NA,NA,NA,0,389849.77,1429655.09
B04677,389909.14,1429645.8,1108.03,NA,NA,NA,NA,0,389909.14,1429645.8
B04678,389982.02,1429633.9,1108.8900000000001,NA,NA,NA,NA,0,389982.02,1429633.9
B04679,389962.9,1429710.4,1104.8,NA,NA,NA,NA,0,389962.9,1429710.4
B04680,389965.38,1429738.79,1105.4000000000001,NA,NA,NA,NA,0,389965.38,1429738.79
B04681,391060.702068,1430915.314877,1026.805601,1026.57,NA,NA,NA,0,391060.702068,1430915.314877
B04682,391063.80206799996,1430918.314877,1026.805601,1026.57,60,70,70,0,391063.80206799996,1430918.314877
B04683,391056.30206799996,1430915.2148769998,1026.805601,1026.57,85,100,100,0,391056.30206799996,1430915.2148769998
B04684,391126.413657,1430845.77699,1029.2873059999999,1029.03,NA,NA,NA,0,391126.413657,1430845.77699
B04685,391129.513657,1430846.27699,1029.2873059999999,1029.03,50,60,60,0,391129.513657,1430846.27699
B04686,391124.013657,1430841.6769899998,1029.2873059999999,1029.03,75,100,100,0,391124.013657,1430841.6769899998
B04687,391188.617132,1430774.431557,1034.6645060000001,1034.52,NA,NA,NA,0,391188.617132,1430774.431557
B04688,391190.71713199996,1430778.431557,1034.6645060000001,1034.52,NA,NA,NA,0,391190.71713199996,1430778.431557
B04689,391187.21713199996,1430772.8315569998,1034.6645060000001,1034.52,87.4,97.4,97.4,0,391187.21713199996,1430772.8315569998
B04690,391128.261746,1430868.743243,1027.26585,1027.22,35.5,55.5,55.5,0,391128.261746,1430868.743243
B04691,391177.692002,1430820.432723,1031.7862459999999,1031.6,45,55,55,0,391177.692002,1430820.432723
B04692,391231.230942,1430770.9381880001,1039.8720269999999,1039.79,70,80,80,0,391231.230942,1430770.9381880001
B04693,391123.377642,1430904.52567,1024.6808490000001,1024.11,NA,NA,NA,0,391123.377642,1430904.52567
B04694,391125.97764199995,1430907.02567,1024.6808490000001,1024.11,NA,NA,NA,0,391125.97764199995,1430907.02567
B04695,391120.97764199995,1430903.4256699998,1024.6808490000001,1024.11,75,95,95,0,391120.97764199995,1430903.4256699998
B04696,391158.522001,1430870.497506,1028.4766239999999,1028.44,NA,NA,NA,0,391158.522001,1430870.497506
B04697,391159.622001,1430876.997506,1028.4766239999999,1028.44,NA,NA,NA,0,391159.622001,1430876.997506
B04698,391157.122001,1430868.897506,1028.4766239999999,1028.44,83,93,93,0,391157.122001,1430868.897506
B04699,391227.67826,1430807.830234,1036.0772199999999,1035.67,48,58,58,0,391227.67826,1430807.830234
B04700,391230.27826,1430810.830234,1036.0772199999999,1035.67,NA,NA,NA,0,391230.27826,1430810.830234
B04701,391225.27826,1430806.230234,1036.0772199999999,1035.67,90,110,110,0,391225.27826,1430806.230234
B04702,391085.92,1430912.8,1025,NA,NA,NA,NA,0,391085.92,1430912.8
B04703,391085.62,1430915.12,1025,NA,NA,NA,NA,0,391085.62,1430915.12
B04704,391107.427877,1430894.73182,1024.7674019999999,NA,NA,NA,NA,0,391107.427877,1430894.73182
B04705,391108.027877,1430892.23182,1024.7674019999999,NA,NA,NA,NA,0,391108.027877,1430892.23182
B04706,391117.637742,1430882.395978,1025.797284,NA,NA,NA,NA,0,391117.637742,1430882.395978
B04707,391119.73774199997,1430882.395978,1025.797284,1025.94,53,68,68,0,391119.73774199997,1430882.395978
B04708,391141.332418,1430861.655497,1027.6698280000001,NA,NA,NA,NA,0,391141.332418,1430861.655497
B04709,391138.93241799995,1430861.155497,1027.6698280000001,NA,NA,NA,NA,0,391138.93241799995,1430861.155497
B04710,391163.695588,1430841.968793,1030.384892,NA,NA,NA,NA,0,391163.695588,1430841.968793
B04711,391159.295588,1430840.468793,1030.384892,NA,NA,NA,NA,0,391159.295588,1430840.468793
B04712,391189.05602,1430812.484023,1032.6800189999999,NA,NA,NA,NA,0,391189.05602,1430812.484023
B04713,391192.65602,1430811.984023,1032.6800189999999,NA,NA,NA,NA,0,391192.65602,1430811.984023
