Well Identification,Lithology,value,to
B04540,"Fill 
(ft bgs)",0,NA
B04540,"Residual Soil
 (ft bgs)",20,NA
B04540,Saprolite (ft bgs),28.5,NA
B04540,"PWR
 (ft bgs)",45,NA
B04540,"Top of Rock 
 (ft bgs)",110,NA
B04540,"Bottom Screen
 (ft bgs)",100,NA
B04540,Measured Well Depth,104.21,NA
B04542,"Fill 
(ft bgs)",0,NA
B04542,"Residual Soil
 (ft bgs)","NA",NA
B04542,Saprolite (ft bgs),35,NA
B04542,"PWR
 (ft bgs)",49,NA
B04542,"Top of Rock 
 (ft bgs)",55,NA
B04542,"Bottom Screen
 (ft bgs)",50,NA
B04542,Measured Well Depth,50.25,NA
B04545,"Fill 
(ft bgs)",0,NA
B04545,"Residual Soil
 (ft bgs)","NA",NA
B04545,Saprolite (ft bgs),45,NA
B04545,"PWR
 (ft bgs)",157,NA
B04545,"Top of Rock 
 (ft bgs)",165,NA
B04545,"Bottom Screen
 (ft bgs)",160,NA
B04545,Measured Well Depth,160.5,NA
B04546,"Fill 
(ft bgs)",0,NA
B04546,"Residual Soil
 (ft bgs)","NA",NA
B04546,Saprolite (ft bgs),7.5,NA
B04546,"PWR
 (ft bgs)",115,NA
B04546,"Top of Rock 
 (ft bgs)",135,NA
B04546,"Bottom Screen
 (ft bgs)",124,NA
B04546,Measured Well Depth,NA,NA
B04547,"Fill 
(ft bgs)",0,NA
B04547,"Residual Soil
 (ft bgs)","NA",NA
B04547,Saprolite (ft bgs),55,NA
B04547,"PWR
 (ft bgs)",155,NA
B04547,"Top of Rock 
 (ft bgs)",165,NA
B04547,"Bottom Screen
 (ft bgs)",163,NA
B04547,Measured Well Depth,NA,NA
B04548,"Fill 
(ft bgs)",0,NA
B04548,"Residual Soil
 (ft bgs)","NA",NA
B04548,Saprolite (ft bgs),12.5,NA
B04548,"PWR
 (ft bgs)",137,NA
B04548,"Top of Rock 
 (ft bgs)",139.5,NA
B04548,"Bottom Screen
 (ft bgs)",137,NA
B04548,Measured Well Depth,NA,NA
B04549,"Fill 
(ft bgs)",0,NA
B04549,"Residual Soil
 (ft bgs)","NA",NA
B04549,Saprolite (ft bgs),55,NA
B04549,"PWR
 (ft bgs)",100,NA
B04549,"Top of Rock 
 (ft bgs)",120,NA
B04549,"Bottom Screen
 (ft bgs)",118,NA
B04549,Measured Well Depth,58.9,NA
B04557,"Fill 
(ft bgs)","NA",NA
B04557,"Residual Soil
 (ft bgs)","NA",NA
B04557,Saprolite (ft bgs),0,NA
B04557,"PWR
 (ft bgs)",102.5,NA
B04557,"Top of Rock 
 (ft bgs)",115,NA
B04557,"Bottom Screen
 (ft bgs)",113,NA
B04557,Measured Well Depth,106.45,NA
B04558,"Fill 
(ft bgs)",0,NA
B04558,"Residual Soil
 (ft bgs)",15,NA
B04558,Saprolite (ft bgs),43,NA
B04558,"PWR
 (ft bgs)",78,NA
B04558,"Top of Rock 
 (ft bgs)",125,NA
B04558,"Bottom Screen
 (ft bgs)",124,NA
B04558,Measured Well Depth,123.35,NA
B04559,"Fill 
(ft bgs)",0,NA
B04559,"Residual Soil
 (ft bgs)","NA",NA
B04559,Saprolite (ft bgs),55,NA
B04559,"PWR
 (ft bgs)",85,NA
B04559,"Top of Rock 
 (ft bgs)",95,NA
B04559,"Bottom Screen
 (ft bgs)",94,NA
B04559,Measured Well Depth,96.03,NA
B04560,"Fill 
(ft bgs)","NA",NA
B04560,"Residual Soil
 (ft bgs)",0,NA
B04560,Saprolite (ft bgs),10,NA
B04560,"PWR
 (ft bgs)",40,NA
B04560,"Top of Rock 
 (ft bgs)",59,NA
B04560,"Bottom Screen
 (ft bgs)",OH,NA
B04560,Measured Well Depth,NA,NA
B04561,"Fill 
(ft bgs)","NA",NA
B04561,"Residual Soil
 (ft bgs)",0,NA
B04561,Saprolite (ft bgs),10,NA
B04561,"PWR
 (ft bgs)",40,NA
B04561,"Top of Rock 
 (ft bgs)",59,NA
B04561,"Bottom Screen
 (ft bgs)",65,NA
B04561,Measured Well Depth,67.15,NA
B04562,"Fill 
(ft bgs)",0,NA
B04562,"Residual Soil
 (ft bgs)",45,NA
B04562,Saprolite (ft bgs),75,NA
B04562,"PWR
 (ft bgs)",122,NA
B04562,"Top of Rock 
 (ft bgs)",187,NA
B04562,"Bottom Screen
 (ft bgs)",184,NA
B04562,Measured Well Depth,NA,NA
B04563,"Fill 
(ft bgs)",0,NA
B04563,"Residual Soil
 (ft bgs)","NA",NA
B04563,Saprolite (ft bgs),45,NA
B04563,"PWR
 (ft bgs)",112,NA
B04563,"Top of Rock 
 (ft bgs)",191,NA
B04563,"Bottom Screen
 (ft bgs)",184,NA
B04563,Measured Well Depth,NA,NA
B04564,"Fill 
(ft bgs)",0,NA
B04564,"Residual Soil
 (ft bgs)","NA",NA
B04564,Saprolite (ft bgs),25,NA
B04564,"PWR
 (ft bgs)",106,NA
B04564,"Top of Rock 
 (ft bgs)",181,NA
B04564,"Bottom Screen
 (ft bgs)",180,NA
B04564,Measured Well Depth,NA,NA
B04565,"Fill 
(ft bgs)",0,NA
B04565,"Residual Soil
 (ft bgs)","NA",NA
B04565,Saprolite (ft bgs),45,NA
B04565,"PWR
 (ft bgs)",120,NA
B04565,"Top of Rock 
 (ft bgs)",229,NA
B04565,"Bottom Screen
 (ft bgs)",218,NA
B04565,Measured Well Depth,NA,NA
B04570,"Fill 
(ft bgs)",0,NA
B04570,"Residual Soil
 (ft bgs)","NA",NA
B04570,Saprolite (ft bgs),45,NA
B04570,"PWR
 (ft bgs)",130,NA
B04570,"Top of Rock 
 (ft bgs)",215,NA
B04570,"Bottom Screen
 (ft bgs)",OH,NA
B04570,Measured Well Depth,NA,NA
B04571,"Fill 
(ft bgs)",0,NA
B04571,"Residual Soil
 (ft bgs)","NA",NA
B04571,Saprolite (ft bgs),35,NA
B04571,"PWR
 (ft bgs)",94,NA
B04571,"Top of Rock 
 (ft bgs)","NA",NA
B04571,"Bottom Screen
 (ft bgs)",94,NA
B04571,Measured Well Depth,"NA",NA
B04572,"Fill 
(ft bgs)",0,NA
B04572,"Residual Soil
 (ft bgs)","NA",NA
B04572,Saprolite (ft bgs),35,NA
B04572,"PWR
 (ft bgs)",94,NA
B04572,"Top of Rock 
 (ft bgs)","NA",NA
B04572,"Bottom Screen
 (ft bgs)",77.5,NA
B04572,Measured Well Depth,"NA",NA
B04573,"Fill 
(ft bgs)",0,NA
B04573,"Residual Soil
 (ft bgs)","NA",NA
B04573,Saprolite (ft bgs),35,NA
B04573,"PWR
 (ft bgs)",94,NA
B04573,"Top of Rock 
 (ft bgs)","NA",NA
B04573,"Bottom Screen
 (ft bgs)",60,NA
B04573,Measured Well Depth,"NA",NA
B04574,"Fill 
(ft bgs)",0,NA
B04574,"Residual Soil
 (ft bgs)","NA",NA
B04574,Saprolite (ft bgs),35,NA
B04574,"PWR
 (ft bgs)",94,NA
B04574,"Top of Rock 
 (ft bgs)","NA",NA
B04574,"Bottom Screen
 (ft bgs)",43.5,NA
B04574,Measured Well Depth,"NA",NA
B04575,"Fill 
(ft bgs)",0,NA
B04575,"Residual Soil
 (ft bgs)",35,NA
B04575,Saprolite (ft bgs),45,NA
B04575,"PWR
 (ft bgs)",90,NA
B04575,"Top of Rock 
 (ft bgs)","NA",NA
B04575,"Bottom Screen
 (ft bgs)",89,NA
B04575,Measured Well Depth,"NA",NA
B04576,"Fill 
(ft bgs)",0,NA
B04576,"Residual Soil
 (ft bgs)",35,NA
B04576,Saprolite (ft bgs),45,NA
B04576,"PWR
 (ft bgs)",90,NA
B04576,"Top of Rock 
 (ft bgs)","NA",NA
B04576,"Bottom Screen
 (ft bgs)",69.5,NA
B04576,Measured Well Depth,"NA",NA
B04577,"Fill 
(ft bgs)",0,NA
B04577,"Residual Soil
 (ft bgs)",35,NA
B04577,Saprolite (ft bgs),45,NA
B04577,"PWR
 (ft bgs)",90,NA
B04577,"Top of Rock 
 (ft bgs)","NA",NA
B04577,"Bottom Screen
 (ft bgs)",54.5,NA
B04577,Measured Well Depth,"NA",NA
B04578,"Fill 
(ft bgs)",0,NA
B04578,"Residual Soil
 (ft bgs)",35,NA
B04578,Saprolite (ft bgs),45,NA
B04578,"PWR
 (ft bgs)",90,NA
B04578,"Top of Rock 
 (ft bgs)","NA",NA
B04578,"Bottom Screen
 (ft bgs)",38.5,NA
B04578,Measured Well Depth,"NA",NA
B04579,"Fill 
(ft bgs)",0,NA
B04579,"Residual Soil
 (ft bgs)",50,NA
B04579,Saprolite (ft bgs),55,NA
B04579,"PWR
 (ft bgs)",115,NA
B04579,"Top of Rock 
 (ft bgs)",195,NA
B04579,"Bottom Screen
 (ft bgs)",195,NA
B04579,Measured Well Depth,"NA",NA
B04580,"Fill 
(ft bgs)",0,NA
B04580,"Residual Soil
 (ft bgs)","NA",NA
B04580,Saprolite (ft bgs),34,NA
B04580,"PWR
 (ft bgs)","NA",NA
B04580,"Top of Rock 
 (ft bgs)","NA",NA
B04580,"Bottom Screen
 (ft bgs)",95.5,NA
B04580,Measured Well Depth,95.5,NA
B04581,"Fill 
(ft bgs)",0,NA
B04581,"Residual Soil
 (ft bgs)","NA",NA
B04581,Saprolite (ft bgs),34,NA
B04581,"PWR
 (ft bgs)","NA",NA
B04581,"Top of Rock 
 (ft bgs)","NA",NA
B04581,"Bottom Screen
 (ft bgs)",73,NA
B04581,Measured Well Depth,73,NA
B04582,"Fill 
(ft bgs)",0,NA
B04582,"Residual Soil
 (ft bgs)","NA",NA
B04582,Saprolite (ft bgs),34,NA
B04582,"PWR
 (ft bgs)","NA",NA
B04582,"Top of Rock 
 (ft bgs)","NA",NA
B04582,"Bottom Screen
 (ft bgs)",60,NA
B04582,Measured Well Depth,60,NA
B04583,"Fill 
(ft bgs)",0,NA
B04583,"Residual Soil
 (ft bgs)","NA",NA
B04583,Saprolite (ft bgs),34,NA
B04583,"PWR
 (ft bgs)","NA",NA
B04583,"Top of Rock 
 (ft bgs)","NA",NA
B04583,"Bottom Screen
 (ft bgs)",41,NA
B04583,Measured Well Depth,41,NA
B04584,"Fill 
(ft bgs)",0,NA
B04584,"Residual Soil
 (ft bgs)","NA",NA
B04584,Saprolite (ft bgs),34,NA
B04584,"PWR
 (ft bgs)","NA",NA
B04584,"Top of Rock 
 (ft bgs)","NA",NA
B04584,"Bottom Screen
 (ft bgs)","NA",NA
B04584,Measured Well Depth,"NA",NA
B04585,"Fill 
(ft bgs)",0,NA
B04585,"Residual Soil
 (ft bgs)","NA",NA
B04585,Saprolite (ft bgs),30,NA
B04585,"PWR
 (ft bgs)","NA",NA
B04585,"Top of Rock 
 (ft bgs)","NA",NA
B04585,"Bottom Screen
 (ft bgs)","NA",NA
B04585,Measured Well Depth,"NA",NA
B04586,"Fill 
(ft bgs)",0,NA
B04586,"Residual Soil
 (ft bgs)","NA",NA
B04586,Saprolite (ft bgs),45,NA
B04586,"PWR
 (ft bgs)",94,NA
B04586,"Top of Rock 
 (ft bgs)",196,NA
B04586,"Bottom Screen
 (ft bgs)",154,NA
B04586,Measured Well Depth,154,NA
B04589,"Fill 
(ft bgs)",0,NA
B04589,"Residual Soil
 (ft bgs)","NA",NA
B04589,Saprolite (ft bgs),65,NA
B04589,"PWR
 (ft bgs)",120,NA
B04589,"Top of Rock 
 (ft bgs)",205,NA
B04589,"Bottom Screen
 (ft bgs)",200,NA
B04589,Measured Well Depth,200,NA
B04590,"Fill 
(ft bgs)",0,NA
B04590,"Residual Soil
 (ft bgs)","NA",NA
B04590,Saprolite (ft bgs),45,NA
B04590,"PWR
 (ft bgs)",95,NA
B04590,"Top of Rock 
 (ft bgs)","NA",NA
B04590,"Bottom Screen
 (ft bgs)",95,NA
B04590,Measured Well Depth,95,NA
B04591,"Fill 
(ft bgs)",0,NA
B04591,"Residual Soil
 (ft bgs)","NA",NA
B04591,Saprolite (ft bgs),45,NA
B04591,"PWR
 (ft bgs)",95,NA
B04591,"Top of Rock 
 (ft bgs)","NA",NA
B04591,"Bottom Screen
 (ft bgs)",77,NA
B04591,Measured Well Depth,77,NA
B04592,"Fill 
(ft bgs)",0,NA
B04592,"Residual Soil
 (ft bgs)","NA",NA
B04592,Saprolite (ft bgs),45,NA
B04592,"PWR
 (ft bgs)",95,NA
B04592,"Top of Rock 
 (ft bgs)","NA",NA
B04592,"Bottom Screen
 (ft bgs)",59,NA
B04592,Measured Well Depth,59,NA
B04600A,"Fill 
(ft bgs)",0,NA
B04600A,"Residual Soil
 (ft bgs)","NA",NA
B04600A,Saprolite (ft bgs),15,NA
B04600A,"PWR
 (ft bgs)",75,NA
B04600A,"Top of Rock 
 (ft bgs)","NA",NA
B04600A,"Bottom Screen
 (ft bgs)",41,NA
B04600A,Measured Well Depth,42,NA
B04600B,"Fill 
(ft bgs)",0,NA
B04600B,"Residual Soil
 (ft bgs)","NA",NA
B04600B,Saprolite (ft bgs),15,NA
B04600B,"PWR
 (ft bgs)",75,NA
B04600B,"Top of Rock 
 (ft bgs)","NA",NA
B04600B,"Bottom Screen
 (ft bgs)",48,NA
B04600B,Measured Well Depth,49,NA
B04600C,"Fill 
(ft bgs)",0,NA
B04600C,"Residual Soil
 (ft bgs)","NA",NA
B04600C,Saprolite (ft bgs),15,NA
B04600C,"PWR
 (ft bgs)",75,NA
B04600C,"Top of Rock 
 (ft bgs)","NA",NA
B04600C,"Bottom Screen
 (ft bgs)",55,NA
B04600C,Measured Well Depth,56,NA
B04600D,"Fill 
(ft bgs)",0,NA
B04600D,"Residual Soil
 (ft bgs)","NA",NA
B04600D,Saprolite (ft bgs),15,NA
B04600D,"PWR
 (ft bgs)",75,NA
B04600D,"Top of Rock 
 (ft bgs)","NA",NA
B04600D,"Bottom Screen
 (ft bgs)",62,NA
B04600D,Measured Well Depth,63,NA
B04600E,"Fill 
(ft bgs)",0,NA
B04600E,"Residual Soil
 (ft bgs)","NA",NA
B04600E,Saprolite (ft bgs),15,NA
B04600E,"PWR
 (ft bgs)",75,NA
B04600E,"Top of Rock 
 (ft bgs)","NA",NA
B04600E,"Bottom Screen
 (ft bgs)",69,NA
B04600E,Measured Well Depth,70,NA
B04600F,"Fill 
(ft bgs)",0,NA
B04600F,"Residual Soil
 (ft bgs)","NA",NA
B04600F,Saprolite (ft bgs),15,NA
B04600F,"PWR
 (ft bgs)",75,NA
B04600F,"Top of Rock 
 (ft bgs)","NA",NA
B04600F,"Bottom Screen
 (ft bgs)",76,NA
B04600F,Measured Well Depth,79,NA
B04601A,"Fill 
(ft bgs)",0,NA
B04601A,"Residual Soil
 (ft bgs)","NA",NA
B04601A,Saprolite (ft bgs),25,NA
B04601A,"PWR
 (ft bgs)",105,NA
B04601A,"Top of Rock 
 (ft bgs)","NA",NA
B04601A,"Bottom Screen
 (ft bgs)",45,NA
B04601A,Measured Well Depth,46,NA
B04601B,"Fill 
(ft bgs)",0,NA
B04601B,"Residual Soil
 (ft bgs)","NA",NA
B04601B,Saprolite (ft bgs),25,NA
B04601B,"PWR
 (ft bgs)",105,NA
B04601B,"Top of Rock 
 (ft bgs)","NA",NA
B04601B,"Bottom Screen
 (ft bgs)",54,NA
B04601B,Measured Well Depth,55,NA
B04601C,"Fill 
(ft bgs)",0,NA
B04601C,"Residual Soil
 (ft bgs)","NA",NA
B04601C,Saprolite (ft bgs),25,NA
B04601C,"PWR
 (ft bgs)",105,NA
B04601C,"Top of Rock 
 (ft bgs)","NA",NA
B04601C,"Bottom Screen
 (ft bgs)",63,NA
B04601C,Measured Well Depth,64,NA
B04601D,"Fill 
(ft bgs)",0,NA
B04601D,"Residual Soil
 (ft bgs)","NA",NA
B04601D,Saprolite (ft bgs),25,NA
B04601D,"PWR
 (ft bgs)",105,NA
B04601D,"Top of Rock 
 (ft bgs)","NA",NA
B04601D,"Bottom Screen
 (ft bgs)",72,NA
B04601D,Measured Well Depth,73,NA
B04601E,"Fill 
(ft bgs)",0,NA
B04601E,"Residual Soil
 (ft bgs)","NA",NA
B04601E,Saprolite (ft bgs),25,NA
B04601E,"PWR
 (ft bgs)",105,NA
B04601E,"Top of Rock 
 (ft bgs)","NA",NA
B04601E,"Bottom Screen
 (ft bgs)",81,NA
B04601E,Measured Well Depth,82,NA
B04601F,"Fill 
(ft bgs)",0,NA
B04601F,"Residual Soil
 (ft bgs)","NA",NA
B04601F,Saprolite (ft bgs),25,NA
B04601F,"PWR
 (ft bgs)",105,NA
B04601F,"Top of Rock 
 (ft bgs)","NA",NA
B04601F,"Bottom Screen
 (ft bgs)",90,NA
B04601F,Measured Well Depth,91,NA
B04601G,"Fill 
(ft bgs)",0,NA
B04601G,"Residual Soil
 (ft bgs)","NA",NA
B04601G,Saprolite (ft bgs),25,NA
B04601G,"PWR
 (ft bgs)",105,NA
B04601G,"Top of Rock 
 (ft bgs)","NA",NA
B04601G,"Bottom Screen
 (ft bgs)",99,NA
B04601G,Measured Well Depth,110,NA
B04602,"Fill 
(ft bgs)",0,NA
B04602,"Residual Soil
 (ft bgs)","NA",NA
B04602,Saprolite (ft bgs),35,NA
B04602,"PWR
 (ft bgs)",50,NA
B04602,"Top of Rock 
 (ft bgs)","NA",NA
B04602,"Bottom Screen
 (ft bgs)",55,NA
B04602,Measured Well Depth,55,NA
B04603,"Fill 
(ft bgs)",0,NA
B04603,"Residual Soil
 (ft bgs)","NA",NA
B04603,Saprolite (ft bgs),25,NA
B04603,"PWR
 (ft bgs)",54,NA
B04603,"Top of Rock 
 (ft bgs)","NA",NA
B04603,"Bottom Screen
 (ft bgs)",64,NA
B04603,Measured Well Depth,64,NA
B04604,"Fill 
(ft bgs)",0,NA
B04604,"Residual Soil
 (ft bgs)",25,NA
B04604,Saprolite (ft bgs),96,NA
B04604,"PWR
 (ft bgs)","NA",NA
B04604,"Top of Rock 
 (ft bgs)","NA",NA
B04604,"Bottom Screen
 (ft bgs)",95,NA
B04604,Measured Well Depth,95,NA
B04605,"Fill 
(ft bgs)",0,NA
B04605,"Residual Soil
 (ft bgs)",40,NA
B04605,Saprolite (ft bgs),100,NA
B04605,"PWR
 (ft bgs)","NA",NA
B04605,"Top of Rock 
 (ft bgs)","NA",NA
B04605,"Bottom Screen
 (ft bgs)",80,NA
B04605,Measured Well Depth,"NA",NA
B04606,"Fill 
(ft bgs)",0,NA
B04606,"Residual Soil
 (ft bgs)",35,NA
B04606,Saprolite (ft bgs),100,NA
B04606,"PWR
 (ft bgs)","NA",NA
B04606,"Top of Rock 
 (ft bgs)","NA",NA
B04606,"Bottom Screen
 (ft bgs)",81,NA
B04606,Measured Well Depth,"NA",NA
B04607,"Fill 
(ft bgs)",0,NA
B04607,"Residual Soil
 (ft bgs)",25,NA
B04607,Saprolite (ft bgs),95,NA
B04607,"PWR
 (ft bgs)",95,NA
B04607,"Top of Rock 
 (ft bgs)","NA",NA
B04607,"Bottom Screen
 (ft bgs)",105,NA
B04607,Measured Well Depth,"NA",NA
B04608,"Fill 
(ft bgs)",0,NA
B04608,"Residual Soil
 (ft bgs)",25,NA
B04608,Saprolite (ft bgs),100,NA
B04608,"PWR
 (ft bgs)","NA",NA
B04608,"Top of Rock 
 (ft bgs)","NA",NA
B04608,"Bottom Screen
 (ft bgs)",98,NA
B04608,Measured Well Depth,"NA",NA
B04639,"Fill 
(ft bgs)",0,NA
B04639,"Residual Soil
 (ft bgs)",ND,NA
B04639,Saprolite (ft bgs),35,NA
B04639,"PWR
 (ft bgs)",125,NA
B04639,"Top of Rock 
 (ft bgs)",160,NA
B04639,"Bottom Screen
 (ft bgs)",160,NA
B04639,Measured Well Depth,160,NA
B04640,"Fill 
(ft bgs)",0,NA
B04640,"Residual Soil
 (ft bgs)",ND,NA
B04640,Saprolite (ft bgs),49,NA
B04640,"PWR
 (ft bgs)",108,NA
B04640,"Top of Rock 
 (ft bgs)",157,NA
B04640,"Bottom Screen
 (ft bgs)",167,NA
B04640,Measured Well Depth,167,NA
B04641,"Fill 
(ft bgs)",0,NA
B04641,"Residual Soil
 (ft bgs)",ND,NA
B04641,Saprolite (ft bgs),41,NA
B04641,"PWR
 (ft bgs)",106,NA
B04641,"Top of Rock 
 (ft bgs)",176,NA
B04641,"Bottom Screen
 (ft bgs)",176,NA
B04641,Measured Well Depth,176,NA
B04642,"Fill 
(ft bgs)",0,NA
B04642,"Residual Soil
 (ft bgs)",ND,NA
B04642,Saprolite (ft bgs),23,NA
B04642,"PWR
 (ft bgs)",107,NA
B04642,"Top of Rock 
 (ft bgs)",127,NA
B04642,"Bottom Screen
 (ft bgs)",135,NA
B04642,Measured Well Depth,135,NA
B04643,"Fill 
(ft bgs)",0,NA
B04643,"Residual Soil
 (ft bgs)",ND,NA
B04643,Saprolite (ft bgs),35,NA
B04643,"PWR
 (ft bgs)",95,NA
B04643,"Top of Rock 
 (ft bgs)",161,NA
B04643,"Bottom Screen
 (ft bgs)",164,NA
B04643,Measured Well Depth,164,NA
B04649,"Fill 
(ft bgs)",0,NA
B04649,"Residual Soil
 (ft bgs)",ND,NA
B04649,Saprolite (ft bgs),66,NA
B04649,"PWR
 (ft bgs)",155,NA
B04649,"Top of Rock 
 (ft bgs)",227,NA
B04649,"Bottom Screen
 (ft bgs)",247,NA
B04649,Measured Well Depth,247,NA
B04654,"Fill 
(ft bgs)",0,NA
B04654,"Residual Soil
 (ft bgs)",ND,NA
B04654,Saprolite (ft bgs),56,NA
B04654,"PWR
 (ft bgs)",114,NA
B04654,"Top of Rock 
 (ft bgs)",157,NA
B04654,"Bottom Screen
 (ft bgs)",157,NA
B04654,Measured Well Depth,157,NA
B04658,"Fill 
(ft bgs)",0,NA
B04658,"Residual Soil
 (ft bgs)",ND,NA
B04658,Saprolite (ft bgs),55,NA
B04658,"PWR
 (ft bgs)",90,NA
B04658,"Top of Rock 
 (ft bgs)",132,NA
B04658,"Bottom Screen
 (ft bgs)",135,NA
B04658,Measured Well Depth,135,NA
B04662,"Fill 
(ft bgs)",0,NA
B04662,"Residual Soil
 (ft bgs)",ND,NA
B04662,Saprolite (ft bgs),34,NA
B04662,"PWR
 (ft bgs)",80,NA
B04662,"Top of Rock 
 (ft bgs)",118,NA
B04662,"Bottom Screen
 (ft bgs)",120,NA
B04662,Measured Well Depth,120,NA
B04665,"Fill 
(ft bgs)",0,NA
B04665,"Residual Soil
 (ft bgs)",ND,NA
B04665,Saprolite (ft bgs),65,NA
B04665,"PWR
 (ft bgs)",125,NA
B04665,"Top of Rock 
 (ft bgs)",140,NA
B04665,"Bottom Screen
 (ft bgs)",142,NA
B04665,Measured Well Depth,142,NA
B04667,"Fill 
(ft bgs)",0,NA
B04667,"Residual Soil
 (ft bgs)",ND,NA
B04667,Saprolite (ft bgs),30,NA
B04667,"PWR
 (ft bgs)",55,NA
B04667,"Top of Rock 
 (ft bgs)",95,NA
B04667,"Bottom Screen
 (ft bgs)",102,NA
B04667,Measured Well Depth,102,NA
B04669,"Fill 
(ft bgs)",0,NA
B04669,"Residual Soil
 (ft bgs)",ND,NA
B04669,Saprolite (ft bgs),25,NA
B04669,"PWR
 (ft bgs)",47,NA
B04669,"Top of Rock 
 (ft bgs)",60,NA
B04669,"Bottom Screen
 (ft bgs)",60,NA
B04669,Measured Well Depth,60,NA
B04670,"Fill 
(ft bgs)",0,NA
B04670,"Residual Soil
 (ft bgs)",ND,NA
B04670,Saprolite (ft bgs),37,NA
B04670,"PWR
 (ft bgs)",53,NA
B04670,"Top of Rock 
 (ft bgs)",103,NA
B04670,"Bottom Screen
 (ft bgs)",105,NA
B04670,Measured Well Depth,105,NA
B04682,"Fill 
(ft bgs)",0,NA
B04682,"Residual Soil
 (ft bgs)",ND,NA
B04682,Saprolite (ft bgs),14,NA
B04682,"PWR
 (ft bgs)",86,NA
B04682,"Top of Rock 
 (ft bgs)",101,NA
