LOCID,BEGDEPTH,ENDDEPTH,LOGDATE,ASTMCODE,HS_UNIT,VISDESC,USER_COMMENTS,lithcode
AFFHP007,0.5,2.5,2001-09-20T06:00:00Z,ML,NA,"CLAYEY SILT: OLIVE BROWN, LARGE GRAINS OF MUSCOVITE, MOIST, SOFT.",NA,SILT
AFFHP007,0,0.5,2001-09-20T06:00:00Z,GM,NA,GRAVEL AND ORGANIC SOIL.,NA,SILTY GRAVEL
AFFHP007,10,20,2001-09-20T06:00:00Z,NA,NA,"DARK YELLOWISH BROWN, VERY WEATHERED SAPROLITE OF MUSCOVITE SCHIST, SOFT, WET, ROCK PIECES, SOME FELDSPAR IN PLACES, RELICT STRUCTURE VISIBLE (FOLIATION).",NA,NA
AFFHP008,0,0.3,2001-09-20T06:00:00Z,GM,NA,GRAVEL.,NA,SILTY GRAVEL
AFFHP008,0.3,4.5,2001-09-20T06:00:00Z,SM,NA,"SILTY SAND: SAPROLITE OF MUSCOVITE OR BIOTITE SCHIST, MOIST, CRUMBLY, SOFT, BROWN WITH LIGHT YELLOW FELDSPAR IN PLACES, HARD PIECES IN PLACES.",NA,SILTY SAND
AFFHP009,0.2,1,2001-09-20T06:00:00Z,NA,NA,FILL: RED SILTY CLAY.,NA,NA
AFFHP009,1,10.5,2001-09-20T06:00:00Z,SM,NA,"SILTY SAND: SAPROLITE OF GRANITIC GNEISS, SOFT, COMPACT, BLACK AND WHITE, WET, SOFT.",NA,SILTY SAND
AFFHP009,0,0.2,2001-09-20T06:00:00Z,GM,NA,GRAVEL.,NA,SILTY GRAVEL
AFFHP010,2.5,7.7,2001-09-21T06:00:00Z,SM,NA,"SILTY SAND: SAPROLITE OF GRANITIC GNEISS, DRY, ROCK PIECES, BLACK AND WHITE, CRUMBLY.",NA,SILTY SAND
AFFHP010,10.8,16,2001-09-21T06:00:00Z,CL,NA,"SILTY CLAY: GRADES INTO DARK YELLOWISH BROWN TO LIGHT GRAY AND RDDISH YELLOW MOTTLED, MOIST, SOFT.",NA,CLAY
AFFHP010,16,20,2001-09-21T06:00:00Z,ML,NA,"CLAYEY SILT: SAPROLITE OF GRANITIC GNEISS, SOFT, DAMP, LIGHT GRAY AND REDDISH YELLOW MOTTLED, RELICT STRUCTURE VISIBLE.",NA,SILT
AFFHP010,0.2,2.5,2001-09-21T06:00:00Z,NA,NA,"FILL: RED CLAYEY SILT WITH LARGE GRAINS MUSCOVITE AND FELDSPAR, DRY, COMPACT.",NA,NA
AFFHP010,7.7,10.8,2001-09-21T06:00:00Z,ML,NA,"CLAYEY SILT: DARK BROWN, DAMP, SOFT, LARGE GRAINS OF MUSCOVITE AND FELDSPAR.",NA,SILT
AFFHP010,21.4,25,2001-09-21T06:00:00Z,ML,NA,"CLAYEY SILT: SAPROLITE OF MUSCOVITE/BIOTITE SCHIST, SOFT, MOIST, LARGE FELDSPAR INCLUSIONS SPORADICALLY.",NA,SILT
AFFHP010,0,0.2,2001-09-21T06:00:00Z,PT,NA,"ORGANIC SOIL, GRASS.",NA,PT
AFFHP010,20,21.4,2001-09-21T06:00:00Z,ML,NA,"CLAYEY SILT: SAPROLITE OF GRANITIC GNEISS, SOFT, WET, LIGHT GRAY AND REDDISH YELLOW MOTTLED, RELICT STRUCTURE VISIBLE.",NA,SILT
