locs_complete$ECOORD,locs_complete$NCOORD,locs_complete@coords
389192.23,1427596.6,389211.3272222222
389257.99,1427445.18,389277.0872222222
389197.33,1427461.49,389216.4272222222
389303.56,1427520.29,389322.6572222222
389548.01,1427522.51,389567.1072222222
389565.84,1427526.3,389584.9372222222
390341,1427286,390360.0972222222
389480.76,1427131.85,389499.8572222222
389476.55,1427140.22,389495.6472222222
389472.49,1427148.93,389491.5872222222
389255.21,1428289.29,389274.3072222222
389281.55,1428158.25,389300.6472222222
389348.79,1428168.77,389367.88722222217
389765.22,1427798.75,389784.31722222216
389258.65,1428290.38,389277.7472222222
389925.2,1428068.82,389944.2972222222
0,0,-17976931348623157e292
390992.95,1427033.48,391012.0472222222
390998.16,1427023.39,391017.25722222216
0,0,-17976931348623157e292
389511.83,1427520.74,389530.9272222222
389509.73,1427507.43,389528.8272222222
389491.61,1427515.55,389510.7072222222
389554.11,1427496.18,389573.2072222222
389545.76,1427483.33,389564.8572222222
389508.28,1427503.43,389527.3772222222
389485.92,1427510.26,389505.0172222222
389456.73,1427530.5,389475.8272222222
389474.79,1427531.29,389493.88722222217
389486.64,1427521.27,389505.7372222222
389512.59,1427524.39,389531.6872222222
389519,1427553.5,389538.0972222222
389481.5,1427578.5,389500.5972222222
389532,1427508.35,389551.0972222222
389528.85,1427524.1,389547.94722222217
389527.86,1427539.27,389546.9572222222
389450.53,1427430.05,389469.6272222222
389512.61,1427417.06,389531.7072222222
389426.32,1427487.85,389445.4172222222
389509.19,1427965.52,389528.2872222222
389425.28,1428124.07,389444.3772222222
389697.27,1428176.08,389716.3672222222
389726.18,1428251.49,389745.2772222222
389832.58,1428148.46,389851.6772222222
389518.09,1427376.24,389537.1872222222
389516.09,1427374.24,389535.1872222222
389702.88,1427559.17,389721.9772222222
390036.11,1427576.47,390055.2072222222
390060.98,1427431.51,390080.0772222222
390091.52,1427220.47,390110.6172222222
390143.82,1427502.77,390162.9172222222
390169.59,1427333.04,390188.6872222222
389885.57,1427540.45,389904.6672222222
389879.32,1427527.95,389898.4172222222
389859.57,1427260.97,389878.6672222222
390177.23,1427415.45,390196.3272222222
390048.07,1427391.49,390067.1672222222
390127.23,1427395.66,390146.3272222222
390053.28,1427349.82,390072.3772222222
390130.36,1427357.11,390149.4572222222
389511.51,1427505.98,389530.6072222222
389519.49,1427505.67,389538.5872222222
389501.9,1427516.05,389520.9972222222
389515.13,1427517.15,389534.2272222222
389508.42,1427502.93,389527.5172222222
389518.04,1427506.67,389537.13722222217
389514.31,1427501.21,389533.4072222222
389499.47,1427507.05,389518.56722222216
389523.17,1427512.78,389542.2672222222
389520.05,1427498.58,389539.1472222222
389508.66,1427520.9,389527.75722222216
389528.25,1427503.38,389547.3472222222
389738.38,1427669.1,389757.4772222222
389769.33,1427618.87,389788.4272222222
389719.25,1427615.92,389738.3472222222
0,0,-17976931348623157e292
0,0,-17976931348623157e292
389368.11,1427879.6,389387.2072222222
389561.42,1427919.05,389580.5172222222
389889.72,1427968.04,389908.81722222216
390021.04,1427831.96,390040.13722222217
390236.7,1427617.07,390255.7972222222
390594.25,1427340.89,390613.3472222222
390003.93,1427469.38,390023.0272222222
390036.23,1427263.66,390055.3272222222
389729.94,1427059.07,389749.0372222222
389562.59,1428025.14,389581.6872222222
389730.96,1428138.57,389750.0572222222
389977.05,1427704.73,389996.1472222222
389132.36,1427517.42,389151.4572222222
389364.37,1428110.64,389383.4672222222
390173.32,1427683.84,390192.4172222222
390455.85,1427585.63,390474.94722222217
390704.39,1426804.98,390723.4872222222
390754.02,1427357.72,390773.1172222222
390994.77,1426989.18,391013.8672222222
389879.85,1427686.88,389898.94722222217
389553,1427520.77,389572.0972222222
389532.98,1427499.59,389552.0772222222
389555.59,1427505.52,389574.6872222222
389563.97,1427526.72,389583.06722222216
389548.1,1427550.41,389567.19722222217
389513.32,1427509.51,389532.4172222222
389480.11,1427509.94,389499.2072222222
389520.93,1427482.79,389540.0272222222
389579.67,1427491.35,389598.7672222222
389541.68,1427459.91,389560.7772222222
389387,1427542,389406.0972222222
389491.38,1427525.57,389510.4772222222
389511.35,1427512.98,389530.44722222217
389538.76,1427483.18,389557.8572222222
389503.91,1427505.72,389523.00722222216
389506.54,1427510.9,389525.63722222217
