LOCID,ECOORD,NCOORD,ELEV,MPELEV,IBDEPTH,IEDEPTH,maxdepth,zero,ECOORD.1,NCOORD.1,start_date,last_date,last_meas,last10mean,water_elev
B4MWF,389670.117222222,1430787.68833333,1092.07,1091.62,NA,NA,NA,0,389670.117222222,1430787.68833333,1997-08-29,2017-10-02,28.52,28.102,1063.5179999999998
B4MWFF,391768.327222222,1429858.36833333,1099.26,1101.36,NA,NA,NA,0,391768.327222222,1429858.36833333,2002-04-23,2019-10-23,44.83,42.829,1058.531
B4MWH,390525.467222222,1430409.03833333,1074.9,1076.87,64,79,79,0,390525.467222222,1430409.03833333,1997-11-20,2018-04-02,39.26,38.983000000000004,1037.887
B4MWHH,391058.587222222,1429863.03833333,1103.13,1104.63,NA,NA,NA,0,391058.587222222,1429863.03833333,2001-01-15,2010-12-02,52.98,51.446,1053.1840000000002
B4MWHH-A,391064.187222222,1429866.87833333,1103.13,1104.08,425,435,435,0,391064.187222222,1429866.87833333,2011-10-04,2019-10-23,53.25,49.446,1054.634
B4MWHH-B,391062.697222222,1429864.37833333,1103.13,1104.08,195,245,245,0,391062.697222222,1429864.37833333,2011-10-04,2019-10-23,53.15,49.137,1054.943
B4MWI,390536.577222222,1430398.66833333,1074.6,1076.04,NA,NA,NA,0,390536.577222222,1430398.66833333,1997-08-26,2010-12-14,37.43,38.892,1037.148
B4MWIA,390538.927222222,1430404.38833333,1076.69,1077.62,131,143,143,0,390538.927222222,1430404.38833333,2011-10-05,2019-10-18,36.85,35.352,1042.2679999999998
B4MWIB,390543.937222222,1430408.38833333,1076.69,1077.62,106.9,111.9,111.9,0,390543.937222222,1430408.38833333,2011-10-05,2019-10-18,38.91,37.025,1040.5949999999998
B4MWIC,390538.947222222,1430402.88833333,1076.69,1077.62,80.3,85.3,85.3,0,390538.947222222,1430402.88833333,2011-10-05,2019-10-18,37.01,35.364,1042.2559999999999
B4MWQ,390661.327222222,1430827.91833333,1062.3,1064.99,NA,NA,NA,0,390661.327222222,1430827.91833333,1997-09-03,2019-10-16,33.34,29.748,1035.242
B4MWT,390011.467222222,1429647.70833333,1109.1,1108.52,NA,NA,NA,0,390011.467222222,1429647.70833333,1998-04-01,2017-10-02,29.31,31.389,1077.131
B4MWU,390283.797222222,1430167.61833333,1095.5,1095.27,104,119,119,0,390283.797222222,1430167.61833333,1998-04-02,2018-04-02,38.1,41.16,1054.11
B4MWV,390730.547222222,1429427.00833333,1107.4,1107.12,83.2,98.2,98.2,0,390730.547222222,1429427.00833333,1997-08-19,2018-04-02,25.74,27.218888888888888,1079.901111111111
D9-MW-G10,390377.997222222,1430322.70833333,1082.94,1082.94,53,65,65,0,390377.997222222,1430322.70833333,1986-02-08,1992-12-01,33.49,33.125,1049.815
DPW-1,389939.727222222,1429675.42833333,1108.53,1108.74,14,114,114,0,389939.727222222,1429675.42833333,1997-06-04,1997-06-04,55.47,55.47,1053.27
DPW-2,389899.227222222,1429735.87833333,1106.4,1106.56,10,180,180,0,389899.227222222,1429735.87833333,1997-06-04,2003-06-10,26.58,55.12666666666667,1051.4333333333332
DPW-3,389997.757222222,1429707.18833333,1108.74,1108.86,10,155,155,0,389997.757222222,1429707.18833333,1997-06-04,1997-06-04,33.6,33.6,1075.26
DPW1,389940.317222222,1429674.90833333,1108.53,NA,NA,NA,NA,0,389940.317222222,1429674.90833333,1997-01-12,1997-01-12,33.16,33.16,NA
DPW2,389899.697222222,1429736.65833333,1106.4,NA,NA,NA,NA,0,389899.697222222,1429736.65833333,1997-01-12,1997-01-12,31.17,31.17,NA
DPW3,389998.307222222,1429708.28833333,1108.74,NA,NA,NA,NA,0,389998.307222222,1429708.28833333,1997-01-12,1997-01-12,32.24,32.24,NA
MW-03-202A,390381.897222222,1432237.05833333,1064,1063.72,190.15,200.15,200.15,0,390381.897222222,1432237.05833333,2004-10-18,2019-10-16,12.48,12.793,1050.9270000000001
MW-03-202B,390382.727222222,1432222.30833333,1064.05,1063.71,67.6,87.6,87.6,0,390382.727222222,1432222.30833333,2005-04-18,2019-10-16,22.35,21.352,1042.358
MW-W1,389807.007222222,1429501.70833333,1107.2,1106.12,30,40,40,0,389807.007222222,1429501.70833333,1997-02-19,2010-12-27,25.87,25.758,1080.3619999999999
