hole_id,collect_date,analyte,from,to,result_num,units,result_label,result,qualifier,mdl,pql
DPT46A,2020-06-26T16:37:00Z,Vinyl chloride,65.5,67.5,8.16,ug/L,8.16,8.16J,J,2.00,10.0
DPT46A,2020-06-27T09:58:00Z,Vinyl chloride,70,72,1.55,ug/L,1.55,1.55J,J,1.00,5.00
DPT05A,2020-06-28T16:09:00Z,Vinyl chloride,48,50,0,ug/L,ND,0.500U,U,0.200,1.00
DPT05A,2020-06-29T10:29:00Z,Vinyl chloride,53.7,55.7,0,ug/L,ND,0.500U,U,0.200,1.00
DPT05A,2020-06-29T13:35:00Z,Vinyl chloride,58.6,60.6,0,ug/L,ND,0.500U,U,0.200,1.00
DPT05A,2020-06-29T16:06:00Z,Vinyl chloride,66.1,68.1,0,ug/L,ND,0.500U,U,0.200,1.00
DPT05A,2020-06-29T18:01:00Z,Vinyl chloride,73.9,75.9,0,ug/L,ND,0.500U,U,0.200,1.00
DPT05A,2020-06-30T10:11:00Z,Vinyl chloride,83.5,85.5,0,ug/L,ND,12.5U,U,5.00,25.0
DPT08A,2020-07-06T14:09:00Z,Vinyl chloride,58.5,60.5,4.64,ug/L,4.64,4.64,NA,0.400,2.00
DPT08A,2020-07-07T11:09:00Z,Vinyl chloride,62.8,64.8,1.47,ug/L,1.47,1.47J,J,0.400,2.00
DPT08A,2020-07-07T14:11:00Z,Vinyl chloride,70.5,72.5,1.4,ug/L,1.4,1.40J,J,0.400,2.00
DPT08A,2020-07-06T15:59:00Z,Vinyl chloride,75,77,0,ug/L,ND,5.00U,U,2.00,10.0
DPT09A,2020-07-14T10:01:00Z,Vinyl chloride,50.5,52.5,15.1,ug/L,15.1,15.1J,J,10.0,50.0
DPT09A,2020-07-14T15:00:00Z,Vinyl chloride,82.7,84.7,0,ug/L,ND,12.5U,U,5.00,25.0
