"","DPT_ID","top","bottom","mean.IK"
"211","DPT09A",77,78,3.52416315789474
"212","DPT09A",78,79,3.5343
"213","DPT09A",79,80,3.49437894736842
"214","DPT09A",80,81,3.4751
"215","DPT09A",81,82,3.41058421052632
"216","DPT09A",82,83,3.408015
"217","DPT09A",83,84,3.4038
"218","DPT10A",45,46,2.20513333333333
"219","DPT10A",46,47,0.00776470588235294
"220","DPT10A",47,48,0.686335294117647
"221","DPT10A",48,49,1.84146111111111
"222","DPT10A",49,50,0.675457894736842
"223","DPT10A",50,51,1.73655263157895
"224","DPT10A",51,52,1.62958888888889
"225","DPT10A",52,53,1.26102777777778
"226","DPT10A",53,54,1.26571176470588
"227","DPT10A",54,55,0.2904
"228","DPT10A",55,56,0.3025
"229","DPT10A",56,57,0.325664705882353
"230","DPT10A",57,58,0.322361111111111
"231","DPT10A",58,59,0.358484210526316
"232","DPT10A",59,60,0.173494444444444
"233","DPT10A",60,61,0.386711111111111
"234","DPT10A",61,62,0.477658823529412
"235","DPT10A",62,63,2.28372222222222
"236","DPT10A",63,64,4.18084117647059
"237","DPT10A",64,65,4.17762631578947
"238","DPT10A",65,66,4.05973333333333
"239","DPT10A",66,67,2.67487647058824
"240","DPT10A",67,68,0.512368421052632
"241","DPT10A",68,69,1.04355263157895
"242","DPT10A",69,70,1.26407368421053
"243","DPT10A",70,71,1.20212631578947
"244","DPT10A",71,72,1.28162941176471
"245","DPT10A",72,73,1.66372105263158
"246","DPT10A",73,74,2.56984444444444
"247","DPT10A",74,75,3.71824444444444
"248","DPT10A",75,76,2.14922631578947
"249","DPT10A",76,77,1.53392105263158
"250","DPT10A",77,78,1.75538
"251","DPT10A",79,80,2.53501111111111
"252","DPT10A",80,81,2.03848333333333
"253","DPT10A",81,82,0.56959375
"254","DPT10A",82,83,0.475016666666667
"255","DPT10A",83,84,0.860688888888889
"256","DPT10A",84,85,0.307247368421053
"257","DPT10A",85,86,0.24805
"258","DPT11A",45,46,3.85264285714286
"259","DPT11A",46,47,3.39438461538462
"260","DPT11A",47,48,2.41972941176471
"261","DPT11A",48,49,2.48916
"262","DPT11A",49,50,1.52962941176471
"263","DPT11A",50,51,0.686117647058823
"264","DPT11A",51,52,1.07274705882353
"265","DPT11A",52,53,1.6896
"266","DPT11A",53,54,1.4450625
"267","DPT11A",54,55,1.97195294117647
"268","DPT11A",55,56,2.43505
"269","DPT11A",56,57,1.89730588235294
"270","DPT11A",57,58,2.02835
"271","DPT11A",58,59,1.74675789473684
"272","DPT11A",59,60,1.16935
"273","DPT11A",60,61,2.2359
"274","DPT11A",61,62,3.94275
"275","DPT11A",62,63,4.41885789473684
"276","DPT11A",63,64,1.145
"277","DPT11A",64,65,0.51255
"278","DPT11A",65,66,0.07915
"279","DPT11A",66,67,1.86675
"280","DPT11A",67,68,2.35864285714286
"281","DPT11A",68,69,1.647
"282","DPT11A",69,70,0.230636842105263
"283","DPT11A",70,71,4.23326842105263
"284","DPT12A",3,4,3.87273333333333
"285","DPT12A",4,5,3.8874
"286","DPT12A",5,6,3.87808235294118
"287","DPT12A",6,7,3.90891111111111
"288","DPT12A",7,8,3.92321111111111
"289","DPT12A",8,9,3.94738666666667
"290","DPT12A",9,10,3.89488
"291","DPT12A",10,11,3.85694375
"292","DPT12A",11,12,3.88435882352941
"293","DPT12A",12,13,3.80761333333333
"294","DPT12A",13,14,2.82998571428571
"295","DPT12A",14,15,1.85744166666667
"296","DPT12A",15,16,3.40387142857143
